x_PS,y_PS,Moho_depth
-240000,-2640000,15.3178434371948
-232500,-2640000,15.4800510406494
-225000,-2640000,15.6367588043213
-217500,-2640000,15.7806606292725
-210000,-2640000,15.9073581695557
-202500,-2640000,16.0130939483643
-195000,-2640000,16.0851402282715
-187500,-2640000,16.1161861419678
-180000,-2640000,16.1079158782959
-172500,-2640000,16.0774536132813
-165000,-2640000,16.0034065246582
-157500,-2640000,15.8811225891113
-150000,-2640000,15.7223625183105
-142500,-2640000,15.567985534668
-135000,-2640000,15.3828010559082
-127500,-2640000,15.1499195098877
-120000,-2640000,14.8705224990845
-112500,-2640000,14.5874147415161
-105000,-2640000,14.2751054763794
-97500,-2640000,13.9320735931396
-90000,-2640000,13.5728883743286
-82500,-2640000,13.2542905807495
-75000,-2640000,12.9492855072021
-67500,-2640000,12.649224281311
-60000,-2640000,12.3536882400513
-52500,-2640000,12.0924367904663
-45000,-2640000,11.8543691635132
-37500,-2640000,11.6350679397583
-30000,-2640000,11.4284782409668
-22500,-2640000,11.2422227859497
-15000,-2640000,11.0847311019897
-7500,-2640000,10.9658823013306
0,-2640000,10.8901462554932
7500,-2640000,10.8593883514404
15000,-2640000,10.8689365386963
22500,-2640000,10.9067678451538
30000,-2640000,10.9561452865601
37500,-2640000,10.9987888336182
45000,-2640000,11.0383930206299
52500,-2640000,11.0722408294678
60000,-2640000,11.0945863723755
67500,-2640000,11.1061515808105
75000,-2640000,11.1067028045654
82500,-2640000,11.0981359481812
90000,-2640000,11.0842151641846
97500,-2640000,11.0805130004883
105000,-2640000,11.073169708252
112500,-2640000,11.0502872467041
120000,-2640000,11.0031356811523
127500,-2640000,10.9407806396484
135000,-2640000,10.8618679046631
142500,-2640000,10.7688913345337
150000,-2640000,10.6649723052979
157500,-2640000,10.5675325393677
165000,-2640000,10.4780712127686
172500,-2640000,10.4004716873169
180000,-2640000,10.335485458374
187500,-2640000,10.2848930358887
195000,-2640000,10.2521238327026
202500,-2640000,10.2319183349609
210000,-2640000,10.2099905014038
217500,-2640000,10.1613969802856
225000,-2640000,10.1148014068604
232500,-2640000,10.0896883010864
240000,-2640000,10.0954113006592
247500,-2640000,10.117488861084
255000,-2640000,10.1673126220703
262500,-2640000,10.2400455474854
270000,-2640000,10.3213882446289
277500,-2640000,10.3709754943848
285000,-2640000,10.4252586364746
292500,-2640000,10.5061264038086
300000,-2640000,10.624584197998
307500,-2640000,10.7605895996094
315000,-2640000,10.9254465103149
322500,-2640000,11.1161003112793
330000,-2640000,11.3239755630493
337500,-2640000,11.5198431015015
345000,-2640000,11.7073011398315
352500,-2640000,11.8766193389893
360000,-2640000,12.0146141052246
367500,-2640000,12.1055908203125
375000,-2640000,12.1651191711426
382500,-2640000,12.2088756561279
390000,-2640000,12.2525300979614
397500,-2640000,12.3140802383423
405000,-2640000,12.3810501098633
412500,-2640000,12.4416513442993
420000,-2640000,12.4860610961914
427500,-2640000,12.5116691589355
435000,-2640000,12.5251350402832
442500,-2640000,12.5353498458862
450000,-2640000,12.5501565933228
457500,-2640000,12.5801467895508
465000,-2640000,12.6196641921997
472500,-2640000,12.6644010543823
480000,-2640000,12.7101602554321
487500,-2640000,12.7543897628784
495000,-2640000,12.7961864471436
502500,-2640000,12.8356227874756
510000,-2640000,12.8732204437256
517500,-2640000,12.9120235443115
525000,-2640000,12.9407968521118
532500,-2640000,12.9471349716187
540000,-2640000,12.9208459854126
547500,-2640000,12.8620443344116
555000,-2640000,12.7746772766113
562500,-2640000,12.6657209396362
570000,-2640000,12.5433673858643
577500,-2640000,12.4238061904907
585000,-2640000,12.3104953765869
592500,-2640000,12.2088346481323
600000,-2640000,12.122540473938
607500,-2640000,12.0524444580078
615000,-2640000,12.0045890808105
622500,-2640000,11.9787673950195
630000,-2640000,11.9683036804199
637500,-2640000,11.9556589126587
645000,-2640000,11.9549808502197
652500,-2640000,11.9705982208252
660000,-2640000,11.9978685379028
667500,-2640000,12.0156717300415
675000,-2640000,12.0431890487671
682500,-2640000,12.0883646011353
690000,-2640000,12.1492671966553
697500,-2640000,12.201358795166
705000,-2640000,12.2619771957397
712500,-2640000,12.3349609375
720000,-2640000,12.4146842956543
727500,-2640000,12.4709596633911
735000,-2640000,12.5267200469971
742500,-2640000,12.5914468765259
750000,-2640000,12.665454864502
757500,-2640000,12.7228355407715
765000,-2640000,12.7839279174805
772500,-2640000,12.8553056716919
780000,-2640000,12.9352903366089
787500,-2640000,12.9962310791016
795000,-2640000,13.0590114593506
802500,-2640000,13.1294136047363
810000,-2640000,13.2045211791992
817500,-2640000,13.2575769424438
825000,-2640000,13.3109378814697
832500,-2640000,13.3743124008179
840000,-2640000,13.4489917755127
847500,-2640000,13.5124540328979
855000,-2640000,13.5828247070313
862500,-2640000,13.6638374328613
870000,-2640000,13.7496891021729
877500,-2640000,13.8094205856323
885000,-2640000,13.8705701828003
892500,-2640000,13.9498615264893
900000,-2640000,14.0558557510376
907500,-2640000,14.1689167022705
915000,-2640000,14.2972717285156
922500,-2640000,14.4377326965332
930000,-2640000,14.5828561782837
937500,-2640000,14.7042369842529
945000,-2640000,14.8128242492676
952500,-2640000,14.9116516113281
960000,-2640000,15.0022993087769
967500,-2640000,15.0763483047485
975000,-2640000,15.1341848373413
982500,-2640000,15.1762599945068
990000,-2640000,15.2072696685791
997500,-2640000,15.2345285415649
1005000,-2640000,15.2451124191284
1012500,-2640000,15.22864818573
1020000,-2640000,15.1811046600342
1027500,-2640000,15.114203453064
1035000,-2640000,15.0203762054443
1042500,-2640000,14.8993406295776
