# x,y,CDP,uncertainty
1.172500000000000000e+06,2.011430000000000000e+06,2.507235030636722328e+01,9.889477381551735391e+00
1.180000000000000000e+06,2.011430000000000000e+06,2.507968661975271374e+01,9.890562877206370729e+00
1.187500000000000000e+06,2.011430000000000000e+06,2.508645212121880519e+01,9.891484408357687386e+00
1.195000000000000000e+06,2.011430000000000000e+06,2.509250629769223906e+01,9.892263088834994278e+00
1.202500000000000000e+06,2.011430000000000000e+06,2.509775488704125479e+01,9.892918344095644301e+00
1.210000000000000000e+06,2.011430000000000000e+06,2.510214777694205068e+01,9.893467865977328302e+00
1.217500000000000000e+06,2.011430000000000000e+06,2.510567514854825788e+01,9.893927624489682771e+00
1.225000000000000000e+06,2.011430000000000000e+06,2.510836218301996325e+01,9.894311920207735866e+00
1.232500000000000000e+06,2.011430000000000000e+06,2.511026270040699870e+01,9.894633464383227661e+00
1.240000000000000000e+06,2.011430000000000000e+06,2.511145213152366296e+01,9.894903476731954584e+00
1.247500000000000000e+06,2.011430000000000000e+06,2.511202023277791184e+01,9.895131792981787910e+00
1.255000000000000000e+06,2.011430000000000000e+06,2.511206394138847742e+01,9.895326975841539863e+00
1.262500000000000000e+06,2.011430000000000000e+06,2.511168073528667932e+01,9.895496424336464258e+00
1.270000000000000000e+06,2.011430000000000000e+06,2.511096281057022495e+01,9.895646477608016411e+00
1.277500000000000000e+06,2.011430000000000000e+06,2.510999232329460540e+01,9.895782510496502482e+00
1.285000000000000000e+06,2.011430000000000000e+06,2.510883786588239275e+01,9.895909019512671989e+00
1.292500000000000000e+06,2.011430000000000000e+06,2.510755226630973880e+01,9.896029699110064470e+00
1.300000000000000000e+06,2.011430000000000000e+06,2.510617171579254148e+01,9.896147509461270531e+00
1.307500000000000000e+06,2.011430000000000000e+06,2.510471615253372235e+01,9.896264737945957179e+00
1.315000000000000000e+06,2.011430000000000000e+06,2.510319075995877114e+01,9.896383057235270897e+00
1.322500000000000000e+06,2.011430000000000000e+06,2.510158838150257665e+01,9.896503583095237033e+00
1.330000000000000000e+06,2.011430000000000000e+06,2.509989261287051221e+01,9.896626934670024411e+00
1.337500000000000000e+06,2.011430000000000000e+06,2.509808130900166034e+01,9.896753299269359871e+00
1.345000000000000000e+06,2.011430000000000000e+06,2.509613023669610854e+01,9.896882502500220724e+00
1.352500000000000000e+06,2.011430000000000000e+06,2.509401661476574574e+01,9.897014083249228378e+00
1.360000000000000000e+06,2.011430000000000000e+06,2.509172230969759809e+01,9.897147371663510995e+00
1.367500000000000000e+06,2.011430000000000000e+06,2.508923649381301146e+01,9.897281567184190720e+00
1.375000000000000000e+06,2.011430000000000000e+06,2.508655762120190147e+01,9.897415812910955069e+00
1.382500000000000000e+06,2.011430000000000000e+06,2.508369463098651053e+01,9.897549262379854440e+00
1.390000000000000000e+06,2.011430000000000000e+06,2.508066734362060046e+01,9.897681135138054032e+00
1.397500000000000000e+06,2.011430000000000000e+06,2.507750607027254475e+01,9.897810758283906551e+00
1.405000000000000000e+06,2.011430000000000000e+06,2.507425050473885619e+01,9.897937592365888548e+00
1.412500000000000000e+06,2.011430000000000000e+06,2.507094800855117001e+01,9.898061241372666075e+00
1.420000000000000000e+06,2.011430000000000000e+06,2.506765143135222473e+01,9.898181447997867366e+00
1.427500000000000000e+06,2.011430000000000000e+06,2.506441662848027008e+01,9.898298076562657144e+00
1.435000000000000000e+06,2.011430000000000000e+06,2.506129984592195825e+01,9.898411086923623259e+00
1.442500000000000000e+06,2.011430000000000000e+06,2.505835513943124582e+01,9.898520503186270858e+00
1.450000000000000000e+06,2.011430000000000000e+06,2.505563198096165678e+01,9.898626381114038253e+00
1.457500000000000000e+06,2.011430000000000000e+06,2.505317318319601938e+01,9.898728777789287392e+00
1.465000000000000000e+06,2.011430000000000000e+06,2.505101324398879470e+01,9.898827726378645053e+00
1.472500000000000000e+06,2.011430000000000000e+06,2.504917717961869883e+01,9.898923218023380599e+00
1.480000000000000000e+06,2.011430000000000000e+06,2.504767988089925268e+01,9.899015191836063821e+00
1.487500000000000000e+06,2.011430000000000000e+06,2.504652599241901711e+01,9.899103533104764097e+00
1.495000000000000000e+06,2.011430000000000000e+06,2.504571028403329080e+01,9.899188078948292002e+00
1.502500000000000000e+06,2.011430000000000000e+06,2.504521845745086495e+01,9.899268630082474374e+00
1.510000000000000000e+06,2.011430000000000000e+06,2.504502831029630272e+01,9.899344966943216306e+00
1.517500000000000000e+06,2.011430000000000000e+06,2.504511116642527568e+01,9.899416868273638315e+00
1.525000000000000000e+06,2.011430000000000000e+06,2.504543347451742008e+01,9.899484130290677086e+00
1.532500000000000000e+06,2.011430000000000000e+06,2.504595847708721479e+01,9.899546584767829671e+00
1.540000000000000000e+06,2.011430000000000000e+06,2.504664785807551297e+01,9.899604114649829256e+00
1.547500000000000000e+06,2.011430000000000000e+06,2.504746328829924451e+01,9.899656666182218956e+00
1.555000000000000000e+06,2.011430000000000000e+06,2.504836780287445919e+01,9.899704256924586332e+00
1.562500000000000000e+06,2.011430000000000000e+06,2.504932696187216479e+01,9.899746979361603749e+00
1.570000000000000000e+06,2.011430000000000000e+06,2.505030976359640960e+01,9.899785000158965786e+00
1.577500000000000000e+06,2.011430000000000000e+06,2.505128929765551860e+01,9.899818555397690290e+00
1.585000000000000000e+06,2.011430000000000000e+06,2.505224314116828666e+01,9.899847942309726534e+00
1.592500000000000000e+06,2.011430000000000000e+06,2.505315351539435298e+01,9.899873508238526298e+00
1.600000000000000000e+06,2.011430000000000000e+06,2.505400723080541781e+01,9.899895637618918443e+00
1.607500000000000000e+06,2.011430000000000000e+06,2.505479545617073001e+01,9.899914737855478819e+00
1.615000000000000000e+06,2.011430000000000000e+06,2.505551335122003920e+01,9.899931224948971931e+00
1.622500000000000000e+06,2.011430000000000000e+06,2.505615960339864046e+01,9.899945509708249602e+00
1.630000000000000000e+06,2.011430000000000000e+06,2.505673590721338684e+01,9.899957985253113435e+00
1.637500000000000000e+06,2.011430000000000000e+06,2.505724642059528051e+01,9.899969016423629142e+00
1.645000000000000000e+06,2.011430000000000000e+06,2.505769722690357071e+01,9.899978931517882330e+00
1.652500000000000000e+06,2.011430000000000000e+06,2.505809582458641671e+01,9.899988016617804476e+00
1.660000000000000000e+06,2.011430000000000000e+06,2.505845065965748120e+01,9.899996512573945751e+00
1.667500000000000000e+06,2.011430000000000000e+06,2.505877070962762687e+01,9.900004614549047233e+00
1.675000000000000000e+06,2.011430000000000000e+06,2.505906512180916579e+01,9.900012473841233174e+00
1.682500000000000000e+06,2.011430000000000000e+06,2.505934290447350676e+01,9.900020201621327232e+00
1.690000000000000000e+06,2.011430000000000000e+06,2.505961266611948091e+01,9.900027874098274339e+00
1.697500000000000000e+06,2.011430000000000000e+06,2.505988239646736915e+01,9.900035538624447184e+00
1.705000000000000000e+06,2.011430000000000000e+06,2.506015928231967749e+01,9.900043220220336337e+00
1.712500000000000000e+06,2.011430000000000000e+06,2.506044955224997750e+01,9.900050928077483547e+00
1.720000000000000000e+06,2.011430000000000000e+06,2.506075834560164850e+01,9.900058661636725432e+00
1.727500000000000000e+06,2.011430000000000000e+06,2.506108960342362835e+01,9.900066415949464016e+00
1.735000000000000000e+06,2.011430000000000000e+06,2.506144598121402822e+01,9.900074186120523478e+00
1.742500000000000000e+06,2.011430000000000000e+06,2.506182878541327241e+01,9.900081970716941626e+00
1.750000000000000000e+06,2.011430000000000000e+06,2.506223793723956206e+01,9.900089774124019470e+00
1.757500000000000000e+06,2.011430000000000000e+06,2.506267196837190170e+01,9.900097607888987739e+00
1.765000000000000000e+06,2.011430000000000000e+06,2.506312805313450198e+01,9.900105491145350101e+00
1.772500000000000000e+06,2.011430000000000000e+06,2.506360208111125232e+01,9.900113450241114776e+00
1.780000000000000000e+06,2.011430000000000000e+06,2.506408877263512380e+01,9.900121517719416175e+00
1.787500000000000000e+06,2.011430000000000000e+06,2.506458183743353274e+01,9.900129730791592308e+00
1.795000000000000000e+06,2.011430000000000000e+06,2.506507417415777894e+01,9.900138129457227265e+00
1.802500000000000000e+06,2.011430000000000000e+06,2.506555810573483001e+01,9.900146754401106364e+00
1.810000000000000000e+06,2.011430000000000000e+06,2.506602564280495571e+01,9.900155644795496812e+00
1.817500000000000000e+06,2.011430000000000000e+06,2.506646876520337841e+01,9.900164836129494716e+00
1.825000000000000000e+06,2.011430000000000000e+06,2.506687970962293477e+01,9.900174358159976151e+00
1.832500000000000000e+06,2.011430000000000000e+06,2.506725125064664184e+01,9.900184233085660424e+00
1.840000000000000000e+06,2.011430000000000000e+06,2.506757696212897457e+01,9.900194474019111013e+00
1.847500000000000000e+06,2.011430000000000000e+06,2.506785144665443710e+01,9.900205083823180985e+00
1.855000000000000000e+06,2.011430000000000000e+06,2.506807052235723887e+01,9.900216054361983709e+00
1.862500000000000000e+06,2.011430000000000000e+06,2.506823135864485508e+01,9.900227366189646716e+00
1.870000000000000000e+06,2.011430000000000000e+06,2.506833255522711212e+01,9.900238988691796749e+00
1.877500000000000000e+06,2.011430000000000000e+06,2.506837416197407720e+01,9.900250880663211461e+00
1.885000000000000000e+06,2.011430000000000000e+06,2.506835764037771952e+01,9.900262991285089242e+00
1.892500000000000000e+06,2.011430000000000000e+06,2.506828577051783924e+01,9.900275261451719544e+00
1.900000000000000000e+06,2.011430000000000000e+06,2.506816251016013197e+01,9.900287625375085554e+00
1.907500000000000000e+06,2.011430000000000000e+06,2.506799281487910847e+01,9.900300012391454629e+00
1.915000000000000000e+06,2.011430000000000000e+06,2.506778242963266123e+01,9.900312348881282531e+00
1.922500000000000000e+06,2.011430000000000000e+06,2.506753766310752951e+01,9.900324560219754488e+00
1.930000000000000000e+06,2.011430000000000000e+06,2.506726515627142149e+01,9.900336572683775316e+00
1.937500000000000000e+06,2.011430000000000000e+06,2.506697165598097854e+01,9.900348315236840335e+00
1.945000000000000000e+06,2.011430000000000000e+06,2.506666380336912781e+01,9.900359721137897751e+00
1.952500000000000000e+06,2.011430000000000000e+06,2.506634794511383291e+01,9.900370729336469111e+00
1.960000000000000000e+06,2.011430000000000000e+06,2.506602997370405461e+01,9.900381285609466175e+00
1.967500000000000000e+06,2.011430000000000000e+06,2.506571520078663795e+01,9.900391343439004288e+00
1.975000000000000000e+06,2.011430000000000000e+06,2.506540826550236289e+01,9.900400864614786300e+00
1.982500000000000000e+06,2.011430000000000000e+06,2.506511307777948261e+01,9.900409819573326331e+00
1.990000000000000000e+06,2.011430000000000000e+06,2.506483279478959858e+01,9.900418187484687493e+00
1.997500000000000000e+06,2.011430000000000000e+06,2.506456982735470262e+01,9.900425956108890091e+00
2.005000000000000000e+06,2.011430000000000000e+06,2.506432587204001550e+01,9.900433121446770457e+00
2.012500000000000000e+06,2.011430000000000000e+06,2.506410196399440338e+01,9.900439687215087048e+00
2.020000000000000000e+06,2.011430000000000000e+06,2.506389854529841443e+01,9.900445664174792881e+00
2.027500000000000000e+06,2.011430000000000000e+06,2.506371554361577125e+01,9.900451069345681532e+00
2.035000000000000000e+06,2.011430000000000000e+06,2.506355245627437967e+01,9.900455925142690461e+00
2.042500000000000000e+06,2.011430000000000000e+06,2.506340843540717600e+01,9.900460258460373808e+00
2.050000000000000000e+06,2.011430000000000000e+06,2.506328237048982288e+01,9.900464099739673784e+00
2.057500000000000000e+06,2.011430000000000000e+06,2.506317296537056549e+01,9.900467482047007550e+00
2.065000000000000000e+06,2.011430000000000000e+06,2.506307880764335749e+01,9.900470440183280374e+00
2.072500000000000000e+06,2.011430000000000000e+06,2.506299842901965036e+01,9.900473009856082030e+00
2.080000000000000000e+06,2.011430000000000000e+06,2.506293035597882124e+01,9.900475226922253569e+00
2.087500000000000000e+06,2.011430000000000000e+06,2.506287315061699417e+01,9.900477126724526400e+00
2.095000000000000000e+06,2.011430000000000000e+06,2.506282544202885276e+01,9.900478743517957980e+00
2.102500000000000000e+06,2.011430000000000000e+06,2.506278594898556022e+01,9.900480110006187218e+00
2.110000000000000000e+06,2.011430000000000000e+06,2.506275349484236514e+01,9.900481256974217104e+00
2.117500000000000000e+06,2.011430000000000000e+06,2.506272701580914841e+01,9.900482213024458744e+00
2.125000000000000000e+06,2.011430000000000000e+06,2.506270556373236502e+01,9.900483004404334153e+00
2.132500000000000000e+06,2.011430000000000000e+06,2.506268830452412288e+01,9.900483654915287701e+00
2.140000000000000000e+06,2.011430000000000000e+06,2.506267451332891483e+01,9.900484185900173983e+00
2.147500000000000000e+06,2.011430000000000000e+06,2.506266356736088596e+01,9.900484616287362982e+00
2.155000000000000000e+06,2.011430000000000000e+06,2.506265493726353455e+01,9.900484962689191093e+00
2.162500000000000000e+06,2.011430000000000000e+06,2.506264817766000874e+01,9.900485239534216220e+00
2.170000000000000000e+06,2.011430000000000000e+06,2.506264291746603234e+01,9.900485459231344265e+00
2.177500000000000000e+06,2.011430000000000000e+06,2.506263885036472061e+01,9.900485632347384879e+00
2.185000000000000000e+06,2.011430000000000000e+06,2.506263572575922538e+01,9.900485767794695136e+00
2.192500000000000000e+06,2.011430000000000000e+06,2.506263334040373536e+01,9.900485873019862382e+00
2.200000000000000000e+06,2.011430000000000000e+06,2.506263153082884187e+01,9.900485954186541093e+00
2.207500000000000000e+06,2.011430000000000000e+06,2.506263016662492760e+01,9.900486016351319307e+00
2.215000000000000000e+06,2.011430000000000000e+06,2.506262914457516544e+01,9.900486063624764910e+00
2.222500000000000000e+06,2.011430000000000000e+06,2.506262838361196899e+01,9.900486099317955535e+00
2.230000000000000000e+06,2.011430000000000000e+06,2.506262782054834659e+01,9.900486126076080140e+00
2.237500000000000000e+06,2.011430000000000000e+06,2.506262740649442833e+01,9.900486145992680065e+00
2.245000000000000000e+06,2.011430000000000000e+06,2.506262710390076265e+01,9.900486160711372108e+00
2.252500000000000000e+06,2.011430000000000000e+06,2.506262688413378115e+01,9.900486171511298394e+00
2.260000000000000000e+06,2.011430000000000000e+06,2.506262672551189397e+01,9.900486179378788165e+00
2.267500000000000000e+06,2.011430000000000000e+06,2.506262661173696316e+01,9.900486185069565792e+00
2.275000000000000000e+06,2.011430000000000000e+06,2.506262653063858181e+01,9.900486189156017858e+00
2.282500000000000000e+06,2.011430000000000000e+06,2.506262647319512027e+01,9.900486192069671176e+00
2.290000000000000000e+06,2.011430000000000000e+06,2.506262643276328106e+01,9.900486194132103179e+00
2.297500000000000000e+06,2.011430000000000000e+06,2.506262640448550982e+01,9.900486195581585491e+00
2.305000000000000000e+06,2.011430000000000000e+06,2.506262638483431360e+01,9.900486196593028865e+00
2.312500000000000000e+06,2.011430000000000000e+06,2.506262637126543780e+01,9.900486197293684398e+00
2.320000000000000000e+06,2.011430000000000000e+06,2.506262636195697979e+01,9.900486197775661523e+00
2.327500000000000000e+06,2.011430000000000000e+06,2.506262635561231278e+01,9.900486198104715641e+00
2.335000000000000000e+06,2.011430000000000000e+06,2.506262635131630745e+01,9.900486198327874021e+00
2.342500000000000000e+06,2.011430000000000000e+06,2.506262634842642001e+01,9.900486198478084532e+00
2.350000000000000000e+06,2.011430000000000000e+06,2.506262634649545262e+01,9.900486198578484220e+00
2.357500000000000000e+06,2.011430000000000000e+06,2.506262634521342392e+01,9.900486198645047864e+00
2.365000000000000000e+06,2.011430000000000000e+06,2.506262634436815162e+01,9.900486198688886574e+00
2.372500000000000000e+06,2.011430000000000000e+06,2.506262634381472765e+01,9.900486198717624475e+00
2.380000000000000000e+06,2.011430000000000000e+06,2.506262634345439366e+01,9.900486198736157206e+00
2.387500000000000000e+06,2.011430000000000000e+06,2.506262634322180460e+01,9.900486198748172484e+00
2.395000000000000000e+06,2.011430000000000000e+06,2.506262634307264392e+01,9.900486198755887202e+00
2.402500000000000000e+06,2.011430000000000000e+06,2.506262634297716829e+01,9.900486198760660272e+00
2.410000000000000000e+06,2.011430000000000000e+06,2.506262634291714164e+01,9.900486198763818635e+00
5.875000000000000000e+05,2.018930000000000000e+06,2.505330859456913117e+01,9.900042366548372996e+00
5.950000000000000000e+05,2.018930000000000000e+06,2.505106437136717190e+01,9.899925662080255151e+00
6.025000000000000000e+05,2.018930000000000000e+06,2.504837735480929695e+01,9.899781403902300880e+00
6.100000000000000000e+05,2.018930000000000000e+06,2.504518608586177919e+01,9.899603741838161497e+00
6.175000000000000000e+05,2.018930000000000000e+06,2.504142705751864284e+01,9.899385695863719192e+00
6.250000000000000000e+05,2.018930000000000000e+06,2.503703643465342310e+01,9.899118962230048169e+00
6.325000000000000000e+05,2.018930000000000000e+06,2.503195225266722446e+01,9.898793698383714812e+00
6.400000000000000000e+05,2.018930000000000000e+06,2.502611711729409549e+01,9.898398290704164992e+00
6.475000000000000000e+05,2.018930000000000000e+06,2.501948140655371589e+01,9.897919112147043563e+00
6.550000000000000000e+05,2.018930000000000000e+06,2.501200694872746055e+01,9.897340280558076131e+00
6.625000000000000000e+05,2.018930000000000000e+06,2.500367111766809813e+01,9.896643432571368137e+00
6.700000000000000000e+05,2.018930000000000000e+06,2.499447124929543662e+01,9.895807532346516666e+00
6.775000000000000000e+05,2.018930000000000000e+06,2.498442924230998941e+01,9.894808738709105711e+00
